eval_qs_difference,eval_abs_qs_difference,eval mean 100 episode reward,total timesteps,eval_returns,eval_discount_q,eval_qs,eval_time_elapsed,eval_ep_rewmean,eval_eplenmean
-24.361058028178324,24.361055,44.0,1,46.9432700949631,37.78437178735087,-1.1740168,0,44.270728272727276,29.545454545454547
,,,104,,,,,,
,,,239,,,,,,
,,,301,,,,,,
,,,398,,,,,,
,,,492,,,,,,
,,,581,,,,,,
,,,687,,,,,,
,,,776,,,,,,
,,,846,,,,,,
,,,924,,,,,,
,,,988,,,,,,
-24.88152397507921,24.881525,44.9,1001,43.19186081199092,38.642468598604005,-1.1677662,0,45.40077709090909,30.09090909090909
,,,1051,,,,,,
,,,1165,,,,,,
,,,1264,,,,,,
,,,1360,,,,,,
,,,1443,,,,,,
,,,1541,,,,,,
,,,1608,,,,,,
,,,1704,,,,,,
,,,1797,,,,,,
,,,1876,,,,,,
,,,1983,,,,,,
-24.045534055828544,24.045534,44.4,2001,45.020832075218465,37.22548927637974,-1.1824912,0,43.550355909090904,29.181818181818183
,,,2091,,,,,,
,,,2168,,,,,,
,,,2235,,,,,,
,,,2332,,,,,,
,,,2414,,,,,,
,,,2489,,,,,,
,,,2554,,,,,,
,,,2631,,,,,,
,,,2729,,,,,,
,,,2857,,,,,,
,,,2968,,,,,,
-24.334029555951375,24.334028,44.3,3001,49.27665151774597,37.77877635741378,-1.172093,0,44.262046,29.545454545454547
,,,3052,,,,,,
,,,3164,,,,,,
,,,3247,,,,,,
,,,3333,,,,,,
,,,3401,,,,,,
,,,3496,,,,,,
,,,3568,,,,,,
,,,3660,,,,,,
,,,3755,,,,,,
,,,3813,,,,,,
,,,3894,,,,,,
,,,3974,,,,,,
-24.15063855297026,24.15064,44.2,4001,47.551226101587346,37.4465709706331,-1.1764356,0,43.81445872727273,29.272727272727273
,,,4069,,,,,,
,,,4155,,,,,,
,,,4289,,,,,,
,,,4347,,,,,,
,,,4430,,,,,,
,,,4528,,,,,,
,,,4656,,,,,,
,,,4741,,,,,,
,,,4814,,,,,,
,,,4894,,,,,,
,,,4958,,,,,,
-25.33660135464459,25.336601,44.6,5001,45.477313109185104,39.43288700199246,-1.161859,0,46.42865581818182,30.545454545454547
,,,5048,,,,,,
,,,5177,,,,,,
,,,5271,,,,,,
,,,5367,,,,,,
,,,5412,,,,,,
,,,5488,,,,,,
,,,5570,,,,,,
,,,5641,,,,,,
,,,5767,,,,,,
,,,5851,,,,,,
,,,5918,,,,,,
-24.45199182782878,24.451994,44.6,6001,47.141087070051704,38.00533192690238,-1.1682429,0,44.53248636363635,29.636363636363637
,,,6009,,,,,,
,,,6103,,,,,,
,,,6183,,,,,,
,,,6299,,,,,,
,,,6431,,,,,,
,,,6487,,,,,,
,,,6561,,,,,,
,,,6644,,,,,,
,,,6703,,,,,,
,,,6814,,,,,,
,,,6893,,,,,,
,,,6982,,,,,,
-24.435985537815125,24.435986,44.6,7001,45.13863011603648,37.949737932409,-1.1687351,0,44.478167727272734,29.636363636363637
,,,7099,,,,,,
,,,7173,,,,,,
,,,7255,,,,,,
,,,7385,,,,,,
,,,7483,,,,,,
,,,7562,,,,,,
,,,7677,,,,,,
,,,7753,,,,,,
,,,7848,,,,,,
,,,7908,,,,,,
,,,7985,,,,,,
-24.555353539144093,24.555353,44.6,8001,41.370246174746796,38.120780193592395,-1.1768657,0,44.71708145454546,29.727272727272727
,,,8103,,,,,,
,,,8228,,,,,,
,,,8319,,,,,,
,,,8435,,,,,,
,,,8545,,,,,,
,,,8634,,,,,,
,,,8729,,,,,,
,,,8820,,,,,,
,,,8921,,,,,,
-24.059582080630296,24.059582,44.5,9001,41.55079626210404,37.24789485090996,-1.1777345,0,43.57234081818182,29.181818181818183
,,,9031,,,,,,
,,,9100,,,,,,
,,,9159,,,,,,
,,,9220,,,,,,
,,,9279,,,,,,
,,,9399,,,,,,
,,,9486,,,,,,
,,,9540,,,,,,
,,,9623,,,,,,
,,,9719,,,,,,
,,,9803,,,,,,
,,,9885,,,,,,
,,,9944,,,,,,
-24.635835759548993,24.635836,44.5,10001,45.32376576344386,38.28588073594846,-1.1688002,0,44.911607,29.818181818181817
,,,10004,,,,,,
,,,10092,,,,,,
,,,10235,,,,,,
,,,10322,,,,,,
,,,10452,,,,,,
,,,10553,,,,,,
,,,10735,,,,,,
,,,10831,,,,,,
,,,10922,,,,,,
-24.86097940592595,24.86098,44.6,11001,44.98208536819815,38.657719487939595,-1.1643893,0,45.405801545454544,30.09090909090909
,,,11013,,,,,,
,,,11090,,,,,,
,,,11211,,,,,,
,,,11284,,,,,,
,,,11344,,,,,,
,,,11462,,,,,,
,,,11542,,,,,,
,,,11621,,,,,,
,,,11694,,,,,,
,,,11827,,,,,,
,,,11893,,,,,,
-24.717334518994996,24.717335,44.8,12001,47.078406421553034,38.40401967700057,-1.169415,0,45.07736045454546,29.90909090909091
,,,12048,,,,,,
,,,12172,,,,,,
,,,12295,,,,,,
,,,12347,,,,,,
,,,12474,,,,,,
,,,12551,,,,,,
,,,12643,,,,,,
,,,12739,,,,,,
,,,12804,,,,,,
,,,12910,,,,,,
,,,12995,,,,,,
-23.847255940192895,23.847258,44.7,13001,41.37545486129799,36.93950290576249,-1.1769761,0,43.154385727272725,29.0
,,,13063,,,,,,
,,,13144,,,,,,
,,,13275,,,,,,
,,,13368,,,,,,
,,,13463,,,,,,
,,,13583,,,,,,
,,,13654,,,,,,
,,,13736,,,,,,
,,,13805,,,,,,
,,,13911,,,,,,
,,,13975,,,,,,
-24.51035202096447,24.510351,44.5,14001,46.915228613095444,38.02807431055275,-1.1733224,0,44.60484318181818,29.727272727272727
,,,14074,,,,,,
,,,14227,,,,,,
,,,14280,,,,,,
,,,14365,,,,,,
,,,14483,,,,,,
,,,14678,,,,,,
,,,14742,,,,,,
,,,14801,,,,,,
,,,14871,,,,,,
,,,14934,,,,,,
-24.561269300015205,24.561272,44.5,15001,47.27273337538787,38.14759857533351,-1.168708,0,44.74793827272728,29.818181818181817
,,,15083,,,,,,
,,,15154,,,,,,
,,,15238,,,,,,
,,,15304,,,,,,
,,,15384,,,,,,
,,,15475,,,,,,
,,,15600,,,,,,
,,,15662,,,,,,
,,,15805,,,,,,
,,,15905,,,,,,
,,,15971,,,,,,
-24.79905840948262,24.799059,44.6,16001,45.06629681133666,38.54790694146818,-1.1661077,0,45.26387172727272,30.0
,,,16105,,,,,,
,,,16176,,,,,,
,,,16262,,,,,,
,,,16313,,,,,,
,,,16448,,,,,,
,,,16547,,,,,,
,,,16610,,,,,,
,,,16660,,,,,,
,,,16759,,,,,,
,,,16842,,,,,,
,,,16955,,,,,,
-24.702020476769345,24.70202,44.6,17001,42.987289527564165,38.41895363575722,-1.1666055,0,45.087900090909095,29.90909090909091
,,,17106,,,,,,
,,,17193,,,,,,
,,,17280,,,,,,
,,,17356,,,,,,
,,,17506,,,,,,
,,,17638,,,,,,
,,,17701,,,,,,
,,,17760,,,,,,
,,,17826,,,,,,
,,,17889,,,,,,
,,,17958,,,,,,
-24.438293177219347,24.438293,44.8,18001,41.40444154718075,37.91895087425839,-1.1732194,0,44.42598263636364,29.545454545454547
,,,18035,,,,,,
,,,18121,,,,,,
,,,18236,,,,,,
,,,18355,,,,,,
,,,18443,,,,,,
,,,18508,,,,,,
,,,18599,,,,,,
,,,18680,,,,,,
,,,18806,,,,,,
,,,18905,,,,,,
,,,18990,,,,,,
-24.487785865917076,24.487785,44.7,19001,41.32315848599495,37.97924140481197,-1.1752238,0,44.521768,29.636363636363637
,,,19045,,,,,,
,,,19134,,,,,,
,,,19207,,,,,,
,,,19328,,,,,,
,,,19489,,,,,,
,,,19588,,,,,,
,,,19704,,,,,,
,,,19785,,,,,,
,,,19907,,,,,,
,,,19975,,,,,,
-24.110553053907122,24.110554,44.5,20001,46.995820480928614,37.39111877282001,-1.1695827,0,43.76220354545454,29.363636363636363
,,,20029,,,,,,
,,,20204,,,,,,
,,,20253,,,,,,
,,,20478,,,,,,
,,,20539,,,,,,
,,,20615,,,,,,
,,,20676,,,,,,
,,,20804,,,,,,
,,,20900,,,,,,
-23.819609334674457,23.81961,44.4,21001,41.162199094883775,36.89720088193709,-1.1749623,0,43.078729,28.90909090909091
,,,21001,,,,,,
,,,21087,,,,,,
,,,21188,,,,,,
,,,21247,,,,,,
,,,21341,,,,,,
,,,21492,,,,,,
,,,21561,,,,,,
,,,21653,,,,,,
,,,21755,,,,,,
,,,21858,,,,,,
,,,21934,,,,,,
-24.171490195233535,24.17149,44.4,22001,44.767971249935975,37.546531544057935,-1.1701969,0,43.94487818181819,29.363636363636363
,,,22024,,,,,,
,,,22112,,,,,,
,,,22176,,,,,,
,,,22296,,,,,,
,,,22374,,,,,,
,,,22487,,,,,,
,,,22540,,,,,,
,,,22624,,,,,,
,,,22723,,,,,,
,,,22812,,,,,,
,,,22904,,,,,,
,,,22986,,,,,,
-24.206558662946158,24.20656,44.4,23001,43.14577978120504,37.569929434908644,-1.1722054,0,43.97299581818182,29.363636363636363
,,,23104,,,,,,
,,,23204,,,,,,
,,,23279,,,,,,
,,,23467,,,,,,
,,,23559,,,,,,
,,,23694,,,,,,
,,,23769,,,,,,
,,,23848,,,,,,
,,,23930,,,,,,
-24.676472876016177,24.676476,44.3,24001,47.09166131493953,38.27340887358809,-1.1760244,0,44.91400190909091,29.818181818181817
,,,24008,,,,,,
,,,24126,,,,,,
,,,24202,,,,,,
,,,24286,,,,,,
,,,24357,,,,,,
,,,24433,,,,,,
,,,24489,,,,,,
,,,24581,,,,,,
,,,24650,,,,,,
,,,24737,,,,,,
,,,24819,,,,,,
,,,24926,,,,,,
,,,24990,,,,,,
-48.0321126616228,48.032116,50.6,25001,107.71659930867924,80.55804822358158,-1.0813068,1,108.47891581818182,61.18181818181818
,,,25116,,,,,,
,,,25251,,,,,,
,,,25347,,,,,,
,,,25441,,,,,,
,,,25541,,,,,,
,,,25655,,,,,,
,,,25887,,,,,,
-1.6894989399245242,21.119223,63.6,26001,171.7384715339649,109.84462288583609,67.95318,2,168.89779654545453,86.36363636363636
,,,26234,,,,,,
,,,26582,,,,,,
,,,26929,,,,,,
34.05006843241108,34.05007,77.3,27001,167.32897292531376,109.5523798713814,103.72258,2,168.57784227272728,86.27272727272727
,,,27275,,,,,,
,,,27624,,,,,,
,,,27972,,,,,,
37.52356655381964,37.523563,91.2,28001,170.97573936447327,110.58273580816973,108.15026,2,170.66500154545454,86.63636363636364
,,,28316,,,,,,
,,,28663,,,,,,
37.56888569766754,37.568886,105.2,29001,168.29086727842642,110.8046522329986,108.46675,2,171.18947154545455,86.72727272727273
,,,29009,,,,,,
,,,29358,,,,,,
,,,29702,,,,,,
36.37769893353613,36.854824,119.5,30001,174.47056492641133,112.08511493444688,109.36531,2,174.12811454545457,86.54545454545455
,,,30048,,,,,,
,,,30393,,,,,,
,,,30734,,,,,,
37.20199851742471,39.11568,133.2,31001,171.96158760903816,108.27538706076156,107.15366,2,167.07709045454547,85.54545454545455
,,,31074,,,,,,
,,,31388,,,,,,
,,,31697,,,,,,
,,,31888,,,,,,
52.85813555402733,52.85814,154.9,32001,249.653548641306,136.1669423011861,152.31049,3,249.3895324545455,115.18181818181819
,,,32410,,,,,,
,,,32822,,,,,,
56.873921363096265,59.999012,176.7,33001,238.83472229235764,134.3506912162247,149.7171,3,241.33202409090907,116.63636363636364
,,,33226,,,,,,
,,,33679,,,,,,
57.514051707887205,57.959667,193.3,34001,242.14422592187498,136.97888974291052,158.27934,3,248.0622649090909,111.54545454545455
,,,34167,,,,,,
,,,34613,,,,,,
74.59762376809311,74.597626,201.4,35001,224.20525104150366,130.51936062943102,168.2403,3,230.29026163636362,107.9090909090909
,,,35034,,,,,,
,,,35417,,,,,,
,,,35839,,,,,,
56.07192386450361,57.70911,207.5,36001,228.93719786044105,127.78358216196852,148.37851,3,224.22266072727277,105.81818181818181
,,,36307,,,,,,
,,,36776,,,,,,
50.30240451069308,50.587357,217.4,37001,262.0866659729227,143.106068870186,151.64015,3,263.37845118181815,120.0909090909091
,,,37258,,,,,,
,,,37565,,,,,,
,,,37954,,,,,,
45.86657017568768,48.375317,227.8,38001,268.095212709859,144.642879771976,148.291,3,266.13794927272727,119.81818181818181
,,,38377,,,,,,
,,,38662,,,,,,
114.13009519944431,115.25459,224.8,39001,126.29024914304941,92.38636418752168,173.55855,2,133.36776836363637,69.63636363636364
,,,39069,,,,,,
,,,39458,,,,,,
,,,39852,,,,,,
47.94514749139728,50.917397,234.2,40001,254.70892777959733,142.5246018007754,149.60712,3,264.6550874545455,121.45454545454545
,,,40290,,,,,,
,,,40686,,,,,,
,,,40893,,,,,,
43.04469052558887,43.42192,237.3,41001,263.27150597755355,142.8945852577521,144.4108,3,264.59753790909093,121.45454545454545
,,,41391,,,,,,
,,,41879,,,,,,
39.90859454889991,40.349945,238.6,42001,246.51993534979954,136.81863998648868,140.24219,3,253.9774431818182,118.0909090909091
,,,42352,,,,,,
,,,42849,,,,,,
72.62659168030535,73.85554,231.0,43001,172.12531103293145,108.8980808210309,144.20445,2,169.83474127272726,86.63636363636364
,,,43324,,,,,,
,,,43836,,,,,,
36.30333654547363,38.517834,235.2,44001,280.5179270208298,146.16805914341253,142.33041,3,282.2700391818182,129.72727272727272
,,,44362,,,,,,
,,,44849,,,,,,
38.61131744005523,38.855732,240.6,45001,259.12954708300043,143.2282914438075,139.73875,3,270.7367198181818,127.18181818181819
,,,45349,,,,,,
,,,45866,,,,,,
34.94541311502058,37.127968,240.9,46001,276.2225908170749,142.67627378252323,135.7145,3,262.54248754545455,120.27272727272727
,,,46369,,,,,,
,,,46851,,,,,,
31.472960736567014,32.45751,243.8,47001,290.80541383306416,150.24205002010206,139.75204,3,292.4605144545455,132.63636363636363
,,,47389,,,,,,
,,,47854,,,,,,
36.23828659495345,36.43636,256.6,48001,274.6530962317403,145.32965823563427,137.49005,3,268.87158690909087,123.45454545454545
,,,48375,,,,,,
,,,48916,,,,,,
27.51734559661769,29.532482,261.6,49001,285.4079196333469,150.44375412119626,136.8878,3,291.20497409090905,130.0
,,,49453,,,,,,
,,,49858,,,,,,
29.372925499389694,32.824734,262.5,50001,273.52753057417084,145.07719334070933,130.73817,3,270.99248354545455,125.63636363636364
,,,50376,,,,,,
,,,50903,,,,,,
27.019165247442288,27.527845,264.2,51001,276.1171119246313,145.47713788851414,131.00449,3,272.6846375454545,123.72727272727273
,,,51444,,,,,,
,,,51941,,,,,,
114.55882037832717,114.55883,261.3,52001,144.88433086632912,99.16277351132986,175.70804,2,145.64694118181816,77.63636363636364
,,,52312,,,,,,
,,,52846,,,,,,
-26.560722290706806,27.83476,274.5,53001,406.8776149617718,186.65544520307722,125.276764,4,405.7800777272727,145.54545454545453
,,,53441,,,,,,
-14.396953257258566,20.108965,286.1,54001,369.41504628017344,176.18582760699766,128.70717,4,377.9630090909091,142.1818181818182
,,,54061,,,,,,
,,,54632,,,,,,
84.18836297732268,84.18836,281.9,55001,204.29296379380273,123.85763056695099,168.412,2,207.06175627272725,100.27272727272727
,,,55177,,,,,,
,,,55591,,,,,,
-12.231764977353105,13.226557,292.8,56001,405.0304229939688,180.5191469261645,135.86089,4,405.45005472727274,153.0909090909091
,,,56050,,,,,,
,,,56650,,,,,,
-7.87725790924846,10.978367,308.5,57001,408.9659709552672,181.93549057262618,142.65196,4,416.31441899999993,156.9090909090909
,,,57268,,,,,,
,,,57818,,,,,,
0.2192192663135069,5.5252385,320.9,58001,388.64221169800203,184.93998907600346,154.00163,4,397.69677709090905,139.54545454545453
,,,58402,,,,,,
